time,measurement_type,pos_x,pos_y,theta
2.96,model,-4.451918082569828e-09,-0.004108206082128435,1.2393984798539682e-07
2.9699999999999998,model,-4.40065957441027e-09,-0.004195011373566855,1.2511988239433584e-07
2.98,model,-4.349401063363073e-09,-0.0042827241954375315,1.2629991686711636e-07
2.99,model,-4.298142549214987e-09,-0.004371344547740501,1.2747995140864774e-07
3.0,model,-4.246884032317211e-09,-0.004460872430475742,1.2865998601084495e-07
3.01,model,-4.195625230546896e-09,-0.00455130575721226,1.2984002716852178e-07
3.02,model,-4.1443659134482434e-09,-0.004642628879705486,1.3102008018705308e-07
3.07,model,-3.888069283530857e-09,-0.005112544483815073,1.3692034626287408e-07
3.08,model,-3.836809949019776e-09,-0.005209187602965687,1.3810039966644758e-07
3.09,model,-3.785550611567015e-09,-0.0053067173882258645,1.3928045313510654e-07
3.1,model,-3.734291271475959e-09,-0.005405133839595598,1.4046050666186674e-07
3.11,model,-3.6830319283376775e-09,-0.005504436957074905,1.4164056025614224e-07
3.12,model,-3.631772582459584e-09,-0.005604626740663777,1.428206139108561e-07
3.13,model,-3.5805132338424767e-09,-0.005705703190362206,1.440006676259898e-07
3.14,model,-3.529253882281193e-09,-0.005807666306170214,1.4518072140626652e-07
3.18,model,-3.324216447613849e-09,-0.006224385430497847,1.4990093715533186e-07
3.19,model,-3.272957081947737e-09,-0.006330781876853664,1.5108099124714126e-07
3.2,model,-3.221697713227953e-09,-0.006438064989319059,1.5226104540661432e-07
3.21,model,-3.1704383417718015e-09,-0.006546234767894012,1.534410996264464e-07
3.22,model,-3.1191789674738245e-09,-0.006655291212578522,1.5462115390906524e-07
3.23,model,-3.067919590397869e-09,-0.006765234323372597,1.55801208253001e-07
3.24,model,-3.016660210341351e-09,-0.006876064100276243,1.569812626629173e-07
3.25,model,-2.965400827632783e-09,-0.006987780543289432,1.5816131713125167e-07
3.26,model,-2.914141441821515e-09,-0.0071003836524122154,1.5934137166837837e-07
3.27,model,-2.8628820533528742e-09,-0.007213873427644555,1.6052142626404547e-07
3.2800000000000002,model,-2.8116226619983498e-09,-0.007328249868986453,1.617014809235136e-07
3.29,model,-2.760363267773326e-09,-0.007443512976437916,1.628815356464285e-07
3.35,model,-2.4528068429748106e-09,-0.00815371160944757,1.6996186529714584e-07
